filter_ceiling_saturated_regions,filter_ceiling_saturated_families,filter_loop_convergence_status,filter_loop_n_iterations,session_id,subject_id,timepoint,piece,rep,processing_timestamp,pipeline_version,gate_01_status,ref_is_fallback,fallback_path_used,t_pose_failed,ref_quality_score,filter_psd_verdict,bone_qc_status,frame_loss_rate,n_artifact_segments_positions,max_artifact_segment_frames_positions,n_artifact_segments_above_10_frames,n_gap_fill_events_positions,max_gap_duration_frames_positions,hampel_max_fraction_any_joint,quat_norm_gt5pct_warning,total_hemisphere_flips_corrected,lin_kine_n_joints_with_dropped_axes,overall_qc_status,step_S01_complete,step_S02_complete,step_S03_complete,step_S04_complete,step_S05_complete,step_S06_complete,artifact_frac_max_joint,artifact_frac_mean_joint,hampel_frac_mean_joint
,,CORRECTED,19.0,651_T1_P1_R1_Take 2026-01-15 04.35.25 PM_002,651,T1,P1,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,6,PASS,True,True,True,True,True,True,,,
,,CORRECTED,18.0,651_T1_P2_R1_Take 2026-01-15 04.35.25 PM_002,651,T1,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,0,PASS,True,True,True,True,True,True,,,
,,CORRECTED,18.0,651_T1_P2_R2_Take 2026-01-15 04.35.25 PM_005,651,T1,P2,R2,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,0,PASS,True,True,True,True,True,True,,,
,,CORRECTED,19.0,651_T2_P1_R1_Take 2026-01-26 05.24.12 PM,651,T2,P1,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,4,PASS,True,True,True,True,True,True,,,
,,CORRECTED,18.0,651_T2_P2_R1_Take 2026-01-26 05.24.12 PM_000,651,T2,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,0,PASS,True,True,True,True,True,True,,,
,,CORRECTED,19.0,651_T3_P1_R1_2026-02-11 05.50.42 PM_2026,651,T3,P1,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,PASS,,0.0,0,0,0,0,0,0.0,False,0,0,PASS,True,True,True,True,True,True,,,
,,,,651_T3_P2_R1_2026-02-11 05.50.42 PM_2027,651,T3,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,651_T3_P2_R2_2026-02-11 05.50.42 PM_2030,651,T3,P2,R2,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T1_P2_R1_Take 2026-01-06 03.57.12 PM_002,671,T1,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T1_P2_R2_Take 2026-01-06 03.57.12 PM_004,671,T1,P2,R2,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T2_P2_R1_Take 2026-01-15 04.35.25 PM_006,671,T2,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T2_P2_R2_Take 2026-01-15 04.35.25 PM_010,671,T2,P2,R2,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T3_P2_R1_Take 2026-02-03 08.05.01 PM_001,671,T3,P2,R1,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
,,,,671_T3_P2_R2_Take 2026-02-03 08.05.01 PM_006,671,T3,P2,R2,2026-05-19T11:19:24Z,v4.0,PASS,False,,,,REVIEW_OVERSMOOTHING,,0.0,0,0,0,0,0,0.0,False,0,0,WARN,True,True,True,True,True,True,,,
